project,distribution,loc,scale
open-mpi_ompi,exponpow,1.0429542370704947,1069518084.1479499
Ne00n_Hetzner,powerlaw,0.9898470855147655,1551644194.9999995
Mastermaulik_ofbiz,cauchy,1269732542.9372547,71383218.19245073
marco-c_gecko-dev-wordified,lognorm,1.7274498944874919,1577835251.0698712
casey_boot,cauchy,1528423107.3642707,547787.8249436226
dotnet_aspnetcore,norm,1477818427.1988602,104754675.83234039
mpv-player_mpv,rayleigh,948006344.5749778,225742323.65443286
ConstipatedNinja_IPMI-Temperature-Monitoring,gamma,345.1924607667519,1387566535.6441069
scummvm_scummvm,gamma,238012.3428527324,-72655776411.49878
jasoncalabrese_indy-e4b,powerlaw,0.9753572445095444,1465380305.4226713
AlejandroHCruz_dailypush,cauchy,1465918411.0615776,2527296.040875369
shubhamagarwal1993_Data-Structures,expon,0.0,5981135.602890301
spip_SPIP,norm,1310920706.955201,139544215.2912423
HYDPublic_relint-ci-pools,powerlaw,1.8697262231611935,1487113102.7575245
videojs_videojs-contrib-hls,powerlaw,3.834752180475835,978392828.3356049
wildfly_wildfly,gamma,8.21230855132507,1146115563.1020145
rust-lang_crates.io-index,powerlaw,1.925316374497882,1413734577.3060412
savoirfairelinux_ring-daemon,cauchy,1599107207.68326,16756225.19865054
bitbucket.org_akhudavets_qa-165k-jira-keys,rayleigh,1338346645.6749732,5021.117557890783
robertbrook_robertbrook.github.io,cauchy,1510117023.1351347,4281118.047289882
I2PC_scipion,norm,1374982538.3830428,98979873.30983676
wellcomez_MacPorts,powerlaw,1.9063548547597011,1011883178.5261046
samuraitruong_cm-spin,powerlaw,1.4776730594931435,1571309842.562469
marcelstoer_nodemcu-custom-build,gamma,4.813559747224038,1414767449.310378
webmproject_libvpx,gamma,35.380393815757635,1057331863.5904534
bitbucket.org_seanfarley_macports-git,powerlaw,1.50638834143609,1025009766.1182904
docker-library_commit-warehouse,cauchy,1450203931.772253,53967631.63884191
prestodb_presto,norm,1499925752.3636756,65355217.24510918
NetBSD_src,norm,1119035664.016087,186656048.32183617
jonike_dava.engine,norm,1426893195.4271405,47351108.79916834
MIPS_gcc,norm,1230192319.2548964,216484899.56669417
FusionPlmH_dead-block,powerlaw,1.0320572174197935,1598784606.131919
cockroachdb_cockroach,powerlaw,1.7996474398529294,1391475960.9465365
wking_swc-boot-camps-v2,norm,1496090494.9723544,70705814.13232288
opendaylight_yangtools,powerlaw,1.1652942165212314,1374186105.821247
BVLC_caffe,gamma,137.39582044129105,906044806.055479
LambdaSchool_JavaScript-I,norm,1550374804.9241285,17472236.132545862
IIJ-NetBSD_netbsd-src,powerlaw,1.0414647670461497,711044163.0612166
jasoncalabrese_indy-e4,powerlaw,1.403214028343807,1457776682.98768
Pardus-Linux_yali,norm,1219203899.1642752,61912219.84385047
Luke0915_Unreal422,powerlaw,0.9780129793911965,1394820820.9999998
dotnet_cli,cauchy,1562834598.8495383,22671557.89292626
hasura_imad-app,cauchy,1503070530.966352,2138741.7959049633
vinnymac_vinnymac.github.io,rayleigh,1530600155.5811386,37929434.12412133
ceph_ceph,norm,1476731233.1033752,88409280.81960472
Automattic_wp-calypso,rayleigh,1436260716.2315876,69781349.91827829
schlos_croatia-parliament-archive,gamma,10.418544171353638,1441598471.0259027
l_debian-webwml,gamma,2.8859707524816045,884228070.3822827
wikimedia_puppet,norm,1459080252.6448536,64687734.181885645
mono_mono,powerlaw,5.577806292641007,-14012704.879429437
AnnaLut_abs3,powerlaw,34.28554906732194,-1121085.3417655013
jshint_jshint,cauchy,1492589736.9217415,936303.217604769
sobotka_blender,cauchy,1290219599.1720557,45853348.85498077
wertklop_intellij-community,powerlaw,1.5881967557710182,1099660877.0099669
piyawad_test1,cauchy,1249203777.8106518,54603958.18480198
redhat-openstack_khaleesi,norm,1435571924.686916,18563939.544687707
